airline,overall_rating,review_date,traveller_type,cabin,departure_date,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,1,24-08-2018,Solo Leisure,Economy Class,01-08-2018,1,1,1,1,1,1,no
Turkish Airlines,1,24-08-2018,Solo Leisure,Economy Class,01-08-2018,2,1,4,4,1,1,no
Turkish Airlines,9,21-08-2018,Business,Economy Class,01-08-2018,4,5,4,5,5,5,yes
Turkish Airlines,1,20-08-2018,Solo Leisure,Economy Class,01-08-2018,2,1,1,2,1,1,no
Turkish Airlines,3,20-08-2018,Solo Leisure,Economy Class,01-08-2018,3,3,2,4,1,3,no
Turkish Airlines,1,19-08-2018,Solo Leisure,Economy Class,01-05-2018,4,2,4,1,1,1,no
Turkish Airlines,9,18-08-2018,Solo Leisure,Economy Class,01-08-2018,4,4,4,4,4,4,yes
Turkish Airlines,2,17-08-2018,Solo Leisure,Economy Class,01-08-2018,3,3,2,2,2,2,no
Turkish Airlines,1,16-08-2018,Family Leisure,Economy Class,01-08-2018,1,1,1,1,1,1,no
Turkish Airlines,1,15-08-2018,Solo Leisure,Economy Class,01-08-2018,1,1,1,2,3,2,no
Turkish Airlines,1,14-08-2018,Solo Leisure,Economy Class,01-08-2018,2,2,3,2,1,1,no
Turkish Airlines,3,13-08-2018,Family Leisure,Economy Class,01-08-2018,2,1,1,2,1,1,no
Turkish Airlines,2,11-08-2018,Couple Leisure,Economy Class,01-08-2018,2,3,3,4,1,2,no
Turkish Airlines,8,07-08-2018,Couple Leisure,Economy Class,01-08-2018,4,5,5,5,2,5,yes
Turkish Airlines,2,07-08-2018,Solo Leisure,Economy Class,01-07-2018,2,1,2,2,3,1,no
Turkish Airlines,7,05-08-2018,Family Leisure,Economy Class,01-06-2018,5,4,1,5,5,3,no
Turkish Airlines,3,05-08-2018,Solo Leisure,Economy Class,01-08-2018,3,3,3,3,1,2,no
Turkish Airlines,1,03-08-2018,Business,Economy Class,01-07-2018,1,2,1,1,1,1,no
Turkish Airlines,2,01-08-2018,Business,Economy Class,01-07-2018,3,1,2,2,1,2,no
Turkish Airlines,10,01-08-2018,Couple Leisure,Economy Class,01-01-2018,5,5,5,5,5,5,yes
Turkish Airlines,5,20-07-2018,Business,Business Class,01-07-2018,1,2,2,2,2,2,no
Turkish Airlines,9,20-07-2018,Family Leisure,Economy Class,01-07-2018,5,5,5,5,5,5,yes
Turkish Airlines,1,20-07-2018,Business,Economy Class,01-07-2018,1,1,1,1,1,1,no
Turkish Airlines,1,16-07-2018,Couple Leisure,Business Class,01-07-2018,1,2,2,2,1,1,no
Turkish Airlines,3,16-07-2018,Solo Leisure,Business Class,01-07-2018,3,1,1,2,2,1,no
Turkish Airlines,1,15-07-2018,Couple Leisure,Premium Economy,01-07-2018,1,1,1,1,1,1,no
Turkish Airlines,3,13-07-2018,Couple Leisure,Economy Class,01-07-2018,4,4,5,4,1,1,no
Turkish Airlines,9,13-07-2018,Business,Business Class,01-07-2018,4,5,5,5,3,5,yes
Turkish Airlines,2,11-07-2018,Business,Economy Class,01-05-2018,4,1,2,5,3,2,no
Turkish Airlines,3,09-07-2018,Business,Business Class,01-07-2018,3,4,3,4,1,3,no
Turkish Airlines,2,08-07-2018,Solo Leisure,Economy Class,01-05-2018,2,1,2,2,1,2,no
